user,item,timestamp,state_label,source_outgoing_tx_count,source_incoming_tx_count,source_incoming_value_list,source_outgoing_value_list,source_incoming_tx_volume,source_outgoing_tx_volume,source_incoming_value_variance,source_outgoing_value_variance,source_activity_rate,source_change_in_activity,source_time_since_last,source_tx_volume,source_ico_participation,source_flash_loan,source_token_airdrop,source_phishing,source_frequent_large_transfers,source_gas_price,source_token_swaps,source_smart_contract_interactions,source_last_transaction_block,target_outgoing_tx_count,target_incoming_tx_count,target_incoming_value_list,target_outgoing_value_list,target_incoming_tx_volume,target_outgoing_tx_volume,target_incoming_value_variance,target_outgoing_value_variance,target_activity_rate,target_change_in_activity,target_time_since_last,target_tx_volume,target_ico_participation,target_flash_loan,target_token_airdrop,target_phishing,target_frequent_large_transfers,target_gas_price,target_token_swaps,target_smart_contract_interactions,target_last_transaction_block
0x93F635372008B7c5d770AAa6Ff313454c8dc498c,0xA69babEF1cA67A37Ffaf7a485DfFF3382056e78C,1695113375,6615810,1,0,[],[6615810],0,6615810,0,0,0.047619047619047616,1,16,6615810,False,False,False,False,False,0,0,0,18168874,0,1,[7055110],[],7055110,0,0,0,0.047619047619047616,1,16,7055110,False,False,False,False,False,0,0,0,18168874
0x9b38dfD2e3341880C0983Fc2d2a37FB43BeeE483,0xdB5889E35e379Ef0498aaE126fc2CCE1fbD23216,1695113459,1120000000000000000,1,0,[],[1120000000000000000],0,1120000000000000000,0,0,0.047619047619047616,1,9,1120000000000000000,False,False,False,False,False,0,0,0,18168881,0,1,[1020000000000000000],[],1020000000000000000,0,0,0,0.047619047619047616,1,9,1020000000000000000,False,False,False,False,False,0,0,0,18168881
0x9b38dfD2e3341880C0983Fc2d2a37FB43BeeE483,0xF9a449382b54edc12faB88B54C13C296249B41AE,1695113471,0,1,0,[],[1120000000000000000],0,1120000000000000000,0,0,0.047619047619047616,1,9,1120000000000000000,False,False,False,False,False,0,0,0,18168881,0,1,[0],[],0,0,0,0,0.047619047619047616,1,8,0,False,False,False,False,False,0,0,0,18168882
0x56DCec83AF627Db0e786867b991Bf038E63cC678,0xdAC17F958D2ee523a2206206994597C13D831ec7,1695113567,0,0,1,[809109017547460],[],809109017547460,0,0,0,0.047619047619047616,1,11,809109017547460,False,False,False,False,False,0,0,0,18168879,0,1,[0],[],0,0,0,0,0.047619047619047616,1,19,0,False,False,False,False,False,0,0,0,18168871
0x97326709CE1579fd6e9F020E71Bb742Df1B26050,0x258024FDf43E9d035769128C5BE52C1722a87590,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[0],[],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890
0x137d923E679ed4fE7A0eCc01C34F5BFb2722D562,0x6F1cDbBb4d53d226CF4B917bF768B94acbAB6168,1695113567,12336,1,0,[],[12336],0,12336,0,0,0.047619047619047616,1,0,12336,False,False,False,False,False,0,0,0,18168890,0,1,[12316],[],12316,0,0,0,0.047619047619047616,1,16,12316,False,False,False,False,False,0,0,0,18168874
0x7092614d09761703Cf6c251cc0Ba94D281C6c86C,0x881D40237659C251811CEC9c364ef91dC08D300C,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890,0,1,[0],[],0,0,0,0,0.047619047619047616,1,19,0,False,False,False,False,False,0,0,0,18168871
0xdF1B90f396e2639718b6576ab4F1f111bDd8b946,0xF17e65822b568B3903685a7c9F496CF7656Cc6C2,1695113567,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874,0,1,[0],[],0,0,0,0,0.047619047619047616,1,0,0,False,False,False,False,False,0,0,0,18168890
0xdF1B90f396e2639718b6576ab4F1f111bDd8b946,0x881D40237659C251811CEC9c364ef91dC08D300C,1695113411,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874,0,1,[0],[],0,0,0,0,0.047619047619047616,1,19,0,False,False,False,False,False,0,0,0,18168871
0xdF1B90f396e2639718b6576ab4F1f111bDd8b946,0x525A8F6F3Ba4752868cde25164382BfbaE3990e1,1695113471,0,1,0,[],[0],0,0,0,0,0.047619047619047616,1,16,0,False,False,False,False,False,0,0,0,18168874,0,1,[0],[],0,0,0,0,0.047619047619047616,1,8,0,False,False,False,False,False,0,0,0,18168882
